time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.83002715371e-06,-9.50187190667e-08,10.0041862788,6.28299778037,0.00111582357462,0.0,-0.000136637631644,-1.23363530688e-05,0.139535014342,-0.0102527606263,0.0414634939125,0.0,447.128358281,450.493054873,450.138331663,449.308088938
0.12000000000000001,-4.46116403526e-05,-5.33243006897e-06,10.0168125696,6.2817962142,0.0031941524644,0.0,-0.00154258866084,-0.000217457435649,0.281315843738,-0.079347941788,0.0152796479433,0.0,450.525009295,448.403769607,453.309015465,447.722455524
0.18,-0.000210869594273,-6.75526760159e-05,10.0379616536,6.27647496773,0.00378808538555,0.0,-0.00408432051956,-0.00238438828698,0.42360907524,-0.123841899481,-0.00394164268602,0.0,449.906016313,448.34722637,453.116377304,449.518241333
0.23999999999999996,-0.000538083429373,-0.000387055783749,10.0676467806,6.26846142983,0.00313493476146,0.0,-0.00678092361167,-0.00907891522241,0.565827557462,-0.173523878234,-0.030773361626,0.0,450.268875575,448.093337515,453.459810021,449.43346064
0.3,-0.0010061794563,-0.00129571889887,10.1058710046,6.2574496834,0.000928278715947,0.0,-0.00860698889887,-0.022338408445,0.708215148273,-0.231155284151,-0.0528403921691,0.0,449.96395719,448.173501905,454.341285042,449.661658327
0.36000000000000004,-0.00153004258718,-0.00325506947712,10.1526191754,6.24297938185,6.28059529959,0.0,-0.00849715425618,-0.04447304183,0.849915965515,-0.289149742936,-0.0739357966525,0.0,450.07690892,448.364019598,454.288879799,449.552864351
0.4200000000000001,-0.00196552271117,-0.00686835476885,10.207745598,6.22503104688,6.27621227077,0.0,-0.00554451254607,-0.0778261122461,0.987433504361,-0.353349747759,-0.0713370932154,0.0,448.891138529,449.097856236,452.918781233,447.628292095
0.48000000000000015,-0.00212919218038,-0.0128865695203,10.2710556708,6.20322802299,6.2719360331,0.0,0.000547526595698,-0.125043833132,1.12262355197,-0.415307661692,-0.0711380992323,0.0,448.853113449,448.865412475,452.538650694,447.380375856
0.5400000000000001,-0.00183465978234,-0.022223246416,10.3424064749,6.17770655321,6.26756657087,0.0,0.00973149209679,-0.188828960732,1.25535161616,-0.475079567189,-0.0764281537573,0.0,449.081475055,448.648151329,452.327228904,447.291976917
0.6000000000000002,-0.000893220343349,-0.0359501303082,10.4216414504,6.14860790332,6.26281306644,0.0,0.022146698233,-0.271739842849,1.38529462215,-0.542844312713,-0.0855011906623,0.0,449.342159932,448.601105417,452.730190262,446.986578104
0.6600000000000003,0.000897740140727,-0.0552894924132,10.5085552465,6.11544123357,6.25739797961,0.0,0.0381095385174,-0.376317400598,1.51113439297,-0.609949513277,-0.10201720156,0.0,449.699498748,448.352898712,452.678785983,446.911536088
0.7200000000000003,0.00376679670843,-0.0816227581756,10.6028649622,6.07824305069,6.2510291344,0.0,0.0581849672087,-0.505259160604,1.63160215427,-0.674570313436,-0.116038028353,0.0,449.973840238,448.827596595,452.291841159,446.637212085
0.7800000000000004,0.00798010968978,-0.116488486351,10.7042008578,6.03716404119,6.24378623478,0.0,0.0830051071999,-0.661087564354,1.74507111667,-0.735596918011,-0.13224788409,0.0,450.10576421,448.778902748,452.214214468,446.761412192
0.8400000000000004,0.013839858397,-0.161560936981,10.8120603292,5.99244640136,6.23564948431,0.0,0.113160511869,-0.8457666285,1.84874657585,-0.807745551117,-0.143363004575,0.0,449.63868309,448.720467282,452.506606712,446.04873972
0.9000000000000005,0.0216835319259,-0.21863710967,10.9258061837,5.94337801352,6.22685305253,0.0,0.149199063363,-1.06155724532,1.94089288982,-0.871669313403,-0.154036225712,0.0,449.278194393,448.392013457,452.495365446,446.589892078
0.9600000000000005,0.0318763585617,-0.289645333443,11.0446622064,5.89047644754,6.21735229272,0.0,0.191526091004,-1.31040614484,2.01865252887,-0.937410770902,-0.168758814853,0.0,449.212109505,447.992939164,452.729292803,446.558860577
1.0200000000000005,0.0448103243011,-0.376619584875,11.1676861866,5.83363312718,6.20684930584,0.0,0.240654443157,-1.59395408949,2.07932288519,-1.00472731909,-0.192179705808,0.0,449.839985545,447.90965221,452.754134678,446.322939942
1.0800000000000005,0.0609148180638,-0.481680881124,11.2937508598,5.77274275309,6.19509782211,0.0,0.297336237126,-1.91345217782,2.1194290257,-1.06332005036,-0.204457364514,0.0,449.833413723,448.800869661,452.322264372,446.459047894
1.1400000000000006,0.0806604304996,-0.606991573032,11.4214766473,5.7083364807,6.18272449754,0.0,0.362072613149,-2.26893197801,2.13409655383,-1.12179253155,-0.210001144644,0.0,449.442685304,448.951784233,452.176347164,446.187593934
1.2000000000000006,0.104536080501,-0.754700685888,11.5492115868,5.64042423979,6.1698651996,0.0,0.435013135228,-2.65996226927,2.11910088631,-1.18672661673,-0.224759772347,0.0,449.954600134,448.71304815,451.983325764,445.317435636
1.2600000000000007,0.133044413764,-0.926943120347,11.6750808744,5.56861548339,6.15601759369,0.0,0.516550006566,-3.08654081153,2.07118636082,-1.24263526294,-0.246925976943,0.0,450.674904053,448.826537941,451.876911689,445.789823599
1.3200000000000007,0.166708067417,-1.12577081076,11.7969223061,5.4934872453,6.14087299913,0.0,0.606935649134,-3.54577358529,1.98414245951,-1.28781820363,-0.266562660631,0.0,450.451524,448.796828948,451.132673632,445.772863786
